,alias,status,conid,symbol,sec_type,exchange,currency,local_symbol,primary_exchange,trading_class,sec_id_type,sec_id,description,issuer_id
192,OWENS CORNING,UNCONFIRMED,41289692,OC,STK,NYSE,USD,,NYSE,,,,OWENS CORNING,
193,OWENS CORNING,UNCONFIRMED,77805189,O5Q,STK,FWB,EUR,,FWB,,,,OWENS CORNING,
194,OWENS CORNING,UNCONFIRMED,-1,,BOND,,,,,,,,Owens Corning,e1430131
195,UNIVERSAL DISPLAY CORP,UNCONFIRMED,4816201,OLED,STK,NASDAQ,USD,,NASDAQ,,,,UNIVERSAL DISPLAY CORP,
196,UNIVERSAL DISPLAY CORP,UNCONFIRMED,77762053,UVD,STK,FWB2,EUR,,FWB2,,,,UNIVERSAL DISPLAY CORP,
197,UNIVERSAL DISPLAY CORP,UNCONFIRMED,394846146,OLED,STK,MEXI,MXN,,MEXI,,,,UNIVERSAL DISPLAY CORP,
198,OLIN CORP,UNCONFIRMED,10799,OLN,STK,NYSE,USD,,NYSE,,,,OLIN CORP,
199,OLIN CORP,UNCONFIRMED,86177029,OLN,STK,FWB,EUR,,FWB,,,,OLIN CORP,
200,OLIN CORP,UNCONFIRMED,-1,,BOND,,,,,,,,Olin Corp,e1423919
201,PARTNERS GROUP HOLDING AG,UNCONFIRMED,38577952,PGHN,STK,EBS,CHF,,EBS,,,,PARTNERS GROUP HOLDING AG,
202,PARTNERS GROUP HOLDING AG,UNCONFIRMED,80702268,P2H,STK,SWB,EUR,,SWB,,,,PARTNERS GROUP HOLDING AG,
203,PARTNERS GROUP HOLDING AG,UNCONFIRMED,371152030,PGHNN,STK,MEXI,MXN,,MEXI,,,,PARTNERS GROUP HOLDING AG,
204,PARTNERS GROUP HOLDING AG,UNCONFIRMED,-1,,BOND,,,,,,,,Partners Group Holding AG,e1413103
205,QUALCOMM INC,UNCONFIRMED,273544,QCOM,STK,NASDAQ,USD,,NASDAQ,,,,QUALCOMM INC,
206,QUALCOMM INC,UNCONFIRMED,13110321,QCI,STK,IBIS,EUR,,IBIS,,,,QUALCOMM INC,
207,QUALCOMM INC,UNCONFIRMED,38709373,QCOM,STK,MEXI,MXN,,MEXI,,,,QUALCOMM INC,
208,QUALCOMM INC,UNCONFIRMED,242507018,QCOMUSD,STK,EBS,USD,,EBS,,,,QUALCOMM INC,
